region,d_adjust1,d_adjust2,adjust_dates,initialization
UKC11,1.045941461878586,1.4663335506195596,25.0,5.0
UKC12,1.804482975611536,1.0185649347443428,23.0,2.0
UKC13,1.2597463275121945,1.2026751048369368,27.0,2.0
UKC22,1.0492307177893805,0.9592806286326344,25.0,21.0
UKD12,1.1546430611097491,0.9400070497655684,22.0,17.0551494429643
UKD33,0.6110740422184749,1.1439298434010565,26.0,18.0
UKD34,1.1494062127720444,1.1954703144296979,22.0,19.0
UKD35,1.0777611829821638,1.3154218758408172,23.0,26.0
UKD36,0.9222618498287806,1.190042377949821,28.0,16.0
UKD37,1.1661929552049135,1.3884040945917242,24.0,22.0
UKD42,1.1651056121770509,1.3382084699963896,28.0,3.0
UKD45,1.119938897717897,1.0609044100583478,22.0,5.50693973417079
UKD46,1.4215963820982973,1.0865430968986414,22.0,6.65145382855184
UKD47,1.3659445890286515,1.1414898242714095,23.0,5.2543887327769605
UKD61,1.2360432351305555,1.1008809597586195,25.0,4.0
UKD62,0.8768031029928814,1.2655257356410377,27.0,11.0
UKD63,1.0346939079313775,1.2985279585882579,25.0,8.0
UKD71,1.297424230508435,1.0322653320711133,24.0,10.0
UKD72,1.1149886730556957,0.8978382558475027,22.0,13.0
UKD73,1.4500952858843608,0.9551490933363478,23.0,7.0
UKD74,1.3046946420009278,1.1551653939264541,25.0,8.0
UKE11,0.8838752675248518,1.3595874654215026,29.0,1.0
UKE12,0.7618705957768558,1.2383323415721952,31.0,11.0
UKE13,1.1759596927087588,1.2124191583407937,24.0,6.2672964783875
UKE21,0.791151396249202,0.8661744804669033,31.0,5.0
UKE22,0.9603885777262524,1.0591094228690308,23.0,11.0
UKE31,1.3031951555109598,1.412177000190224,21.0,14.0
UKE32,1.3387217670476248,1.1193831657989988,20.0,36.0
UKE41,1.0343552002900895,1.058829954332276,26.0,9.0
UKE42,0.827320025839114,0.9936737018636635,25.0,14.0
UKE44,1.1011507184284397,0.9468215909593158,23.0,7.0
UKF11,1.2796727073427665,1.0452752395295086,18.0,11.0
UKF12,1.0049775281403415,1.1495833234771624,20.0,16.1402513280876
UKF13,0.9501647816353476,1.1783410938551315,19.0,28.8597486719124
UKF14,0.6429542507724563,0.8031646048059595,25.0,17.0
UKF15,0.8741394973227204,1.0668926955815703,20.0,20.739644331803397
UKF16,0.9834251062863872,1.0602273129317914,22.0,15.260355668196599
UKF21,1.1019859018225524,1.267980088617362,23.0,7.0
UKF22,0.9283860156397868,1.2249335495396136,19.0,18.0
UKF24,0.9673692885449251,1.313701310041112,20.0,10.7659771365632
UKF25,1.1929286365716991,1.3124628854753941,19.0,9.234022863436769
UKF30,0.8222806104556252,0.9171933336833707,23.0,9.7327035216125
UKG11,0.7912969121850941,1.1995129065208758,26.0,6.0
UKG12,1.054182173943115,0.9110737085960916,22.0,19.0
UKG13,0.9691972119074508,1.0362979940818318,22.0,24.0
UKG22,0.9051182416815213,1.1240865469659251,25.0,8.0
UKG23,1.1339646827434338,1.5526127737453796,23.0,5.0
UKG24,0.8437277616229832,1.0723997245193813,22.0,27.0
UKG31,0.8753662641278208,1.0166079487777795,18.0,55.0
UKG33,1.2210333151158532,0.92862357302182,20.0,9.0
UKG36,1.3400281576507822,0.974883587510726,19.0,15.0
UKG37,1.2754754837355056,1.1133449806351707,19.0,15.0
UKG38,1.0811975103130085,0.8904342706976793,24.0,22.0
UKG39,0.9425117429286256,1.1477907383027484,21.0,40.0
UKH11,0.8135766689202708,1.3218861584452894,25.0,5.5
UKH12,0.8440964365691851,1.1766573667301283,21.0,17.0
UKH14,0.8017706334264175,1.0981156273607162,25.0,16.0
UKH15,0.7825706855154374,1.0435329559773119,29.0,6.5
UKH16,0.9637345188682922,1.0549699933991739,27.0,4.926865218605442
UKH17,1.1256177255110345,1.1160328636873027,26.0,4.3708461323652585
UKH21,1.20460302559755,1.0254171926414366,24.0,7.3
UKH23,0.6689931960586964,0.9786134494492782,22.0,62.0
UKH24,1.1355963661608008,1.529540999993009,24.0,6.0
UKH31,1.233976189623497,0.9978055751568806,22.0,5.0
UKH34,1.2127314567360945,0.9741679458650396,21.0,13.266111301530099
UKH35,1.4444094373579208,1.0204113555957564,19.0,8.31019461572804
UKH36,1.3857875016501848,1.0163293031866425,19.0,8.59633044203177
UKH37,1.3410629078675975,1.063312801627133,19.0,9.82736364071005
UKI31,0.57791406206299,0.7581689851392668,20.0,34.0
UKI32,0.28073153031993225,0.5743161526516177,18.0,75.0
UKI33,0.7000000000000001,0.7650892497279955,22.0,85.0
UKI34,1.2109360874631263,0.8452395194126794,19.0,65.0
UKI41,0.9695553515934298,0.6932136201071141,21.0,52.0
UKI42,0.6907655533264032,0.5839276709223957,20.0,25.0
UKI43,0.7802059413208241,0.778182042836999,17.0,65.0
UKI44,1.009966710853316,0.8191178490320425,19.0,104.0
UKI45,1.3783944513107549,0.8600747358503518,18.0,68.0
UKI51,1.1831959419021634,0.8833919956219878,19.0,48.0
UKI52,1.334067437496446,0.8323450845988348,19.0,29.0
UKI53,1.6232103091971948,0.8159937478903004,18.0,28.0
UKI54,1.3136888919950591,0.7225806052078253,19.0,30.0
UKI62,1.6832146075489771,0.933691517069822,18.0,40.0
UKI63,1.0902850257779435,0.8459536065910164,21.0,58.0
UKI72,1.4749368100897478,0.9608042783082772,19.0,47.0
UKI73,1.34509714140407,1.0304641456181138,18.0,39.0
UKI74,1.184831247042644,0.8990853184520827,18.0,62.0
UKJ11,0.6010056870765178,0.8534744196492142,26.0,73.0
UKJ12,1.048164576267271,0.6809204192753717,21.0,9.0
UKJ13,0.6631974290968575,0.992774671593704,24.0,43.0
UKJ14,0.7632748971608666,1.1568535899715073,26.0,34.0
UKJ21,0.8202767806648894,0.8296693949085316,24.0,13.0
UKJ22,1.0478268453504989,0.8592921100245589,22.0,8.0
UKJ25,1.017091870763865,0.8584405049293683,19.0,41.0392662035701
UKJ26,1.173833106633855,0.7909737718641027,20.0,20.9607337964299
UKJ27,1.05540707296863,0.8013882364323359,22.0,9.541326258717767
UKJ31,0.9448677776671606,0.7014608697842886,20.0,10.0
UKJ32,1.1261123319970077,1.023595811688878,22.0,6.0
UKJ34,0.6262043510544574,1.0645759900505716,30.0,3.0
UKJ36,0.8493233619971956,0.9478910659676943,22.0,33.5523148885639
UKJ37,0.93007137878696,0.9433177629828342,23.0,22.4373655018609
UKJ41,1.0290387324315016,0.9860265859303928,25.0,13.0
UKJ43,1.1546956239227362,1.3086446490778791,23.0,8.84033973324827
UKJ45,1.199965949867087,1.299351954775568,23.0,7.24548821563797
UKJ46,1.0517901203136897,1.2923664052203383,24.0,8.91381305267492
UKK11,0.8924424430435676,0.751832741727654,22.0,11.0
UKK12,0.7908676098625509,1.0759070455034034,27.0,48.5427000909348
UKK13,0.7972680597916073,0.6418859089076521,25.0,7.1856032070294
UKK14,0.9103290578473076,0.9001627843869365,28.0,5.0
UKK15,0.7749398912373665,0.8575257455119999,22.0,13.0
UKK21,0.8269696639219403,0.7436023999888365,25.0,9.0
UKK22,0.8556209360958007,0.7092097643457415,22.0,8.0
UKK23,0.5015473325253162,1.0573543463124944,28.0,6.27
UKK30,0.7975344792066255,0.7499591705906522,24.0,11.0
UKK41,0.8208664435545786,0.9004303735969738,25.0,6.0
UKK42,0.6312904341077804,0.6614514078179294,28.0,9.0
UKK43,0.43000000000000005,0.7278460175139337,27.0,35.0
UKI61,1.439677433717982,1.1862763885950738,19.0,33.0
UKD41,1.2255386721681636,1.099928391110518,25.0,2.0
UKI71,1.256425656659555,0.8499980702463709,19.0,53.0
UKC14,1.2820832639093687,1.2400013206433067,26.0,3.0
UKC21,1.2890759576415196,1.0270861014417227,26.0,5.0
UKG32,1.6432014358036422,1.0302685047570257,20.0,8.0
UKC23,1.5208462831180127,0.9689906846939284,26.0,5.0
UKD11,1.2416913404275145,0.9540663932446136,21.0,14.944850557035695
UKH32,1.3124601858498293,0.9144408281699816,21.0,5.0
UKJ44,0.9994821694102907,1.3361519390915964,25.0,13.000358998438802
UKE45,1.3102646575527481,1.3307323305820848,21.0,5.0
UKG21,0.9535629868071379,1.1825641733894996,23.0,3.5
UKJ28,0.8498633284141516,0.7779990592994538,23.0,8.45867374128224
UKI75,1.085533217190345,0.8453620874669505,18.0,36.0
UKD44,1.3174026398497167,1.0456715154995238,24.0,3.58721770450041
UKJ35,0.8772254274716905,0.9376362265960158,23.0,28.0103196095753
UKH25,1.1854955116768902,1.279336023183498,20.0,11.0
